id,codename,en,jp
67,MACHOKE,Machoke,ゴーリキー
68,MACHAMP,Machamp,カイリキー
69,BELLSPROUT,Bellsprout,マダツボミ
70,WEEPINBELL,Weepinbell,ウツドン
71,VICTREEBEL,Victreebel,ウツボット
72,TENTACOOL,Tentacool,メノクラゲ
73,TENTACRUEL,Tentacruel,ドククラゲ
74,GEODUDE,Geodude,イシツブテ
75,GRAVELER,Graveler,ゴローン
76,GOLEM,Golem,ゴローニャ
77,PONYTA,Ponyta,ポニータ
78,RAPIDASH,Rapidash,ギャロップ
79,SLOWPOKE,Slowpoke,ヤドン
80,SLOWBRO,Slowbro,ヤドラン
81,MAGNEMITE,Magnemite,コイル
82,MAGNETON,Magneton,レアコイル
83,FARFETCHD,Farfetch'd,カモネギ
84,DODUO,Doduo,ドードー
85,DODRIO,Dodrio,ドードリオ
86,SEEL,Seel,パウワウ
87,DEWGONG,Dewgong,ジュゴン
88,GRIMER,Grimer,ベトベター
89,MUK,Muk,ベトベトン
90,SHELLDER,Shellder,シェルダー
91,CLOYSTER,Cloyster,パルシェン
92,GASTLY,Gastly,ゴース
93,HAUNTER,Haunter,ゴースト
94,GENGAR,Gengar,ゲンガー
95,ONIX,Onix,イワーク
96,DROWZEE,Drowzee,スリープ
97,HYPNO,Hypno,スリーパー
98,KRABBY,Krabby,クラブ
99,KINGLER,Kingler,キングラー
100,VOLTORB,Voltorb,ビリリダマ
101,ELECTRODE,Electrode,マルマイン
102,EXEGGCUTE,Exeggcute,タマタマ
103,EXEGGUTOR,Exeggutor,ナッシー
104,CUBONE,Cubone,カラカラ
105,MAROWAK,Marowak,ガラガラ
106,HITMONLEE,Hitmonlee,サワムラー
107,HITMONCHAN,Hitmonchan,エビワラー
108,LICKITUNG,Lickitung,ベロリンガ
109,KOFFING,Koffing,ドガース
110,WEEZING,Weezing,マタドガス
111,RHYHORN,Rhyhorn,サイホーン
112,RHYDON,Rhydon,サイドン
113,CHANSEY,Chansey,ラッキー
114,TANGELA,Tangela,モンジャラ
115,KANGASKHAN,Kangaskhan,ガルーラ
116,HORSEA,Horsea,タッツー
117,SEADRA,Seadra,シードラ
118,GOLDEEN,Goldeen,トサキント
119,SEAKING,Seaking,アズマオウ
120,STARYU,Staryu,ヒトデマン
121,STARMIE,Starmie,スターミー
122,MR_MIME,Mr. Mime,バリヤード
123,SCYTHER,Scyther,ストライク
124,JYNX,Jynx,ルージュラ
125,ELECTABUZZ,Electabuzz,エレブー
126,MAGMAR,Magmar,ブーバー
127,PINSIR,Pinsir,カイロス
128,TAUROS,Tauros,ケンタロス
129,MAGIKARP,Magikarp,コイキング
130,GYARADOS,Gyarados,ギャラドス
131,LAPRAS,Lapras,ラプラス
132,DITTO,Ditto,メタモン
133,EEVEE,Eevee,イーブイ
134,VAPOREON,Vaporeon,シャワーズ
135,JOLTEON,Jolteon,サンダース
136,FLAREON,Flareon,ブースター
137,PORYGON,Porygon,ポリゴン
138,OMANYTE,Omanyte,オムナイト
139,OMASTAR,Omastar,オムスター
140,KABUTO,Kabuto,カブト
141,KABUTOPS,Kabutops,カブトプス
142,AERODACTYL,Aerodactyl,プテラ
143,SNORLAX,Snorlax,カビゴン
144,ARTICUNO,Articuno,フリーザー
145,ZAPDOS,Zapdos,サンダー
146,MOLTRES,Moltres,ファイヤー
147,DRATINI,Dratini,ミニリュウ
148,DRAGONAIR,Dragonair,ハクリュー
149,DRAGONITE,Dragonite,カイリュー
150,MEWTWO,Mewtwo,ミュウツー
151,MEW,Mew,ミュウ
152,CHIKORITA,Chikorita,チコリータ
153,BAYLEEF,Bayleef,ベイリーフ
154,MEGANIUM,Meganium,メガニウム
155,CYNDAQUIL,Cyndaquil,ヒノアラシ
156,QUILAVA,Quilava,マグマラシ
157,TYPHLOSION,Typhlosion,バクフーン
158,TOTODILE,Totodile,ワニノコ
159,CROCONAW,Croconaw,アリゲイツ
160,FERALIGATR,Feraligatr,オーダイル
161,SENTRET,Sentret,オタチ
162,FURRET,Furret,オオタチ
163,HOOTHOOT,Hoothoot,ホーホー
164,NOCTOWL,Noctowl,ヨルノズク
165,LEDYBA,Ledyba,レディバ
166,LEDIAN,Ledian,レディアン
167,SPINARAK,Spinarak,イトマル
168,ARIADOS,Ariados,アリアドス
169,CROBAT,Crobat,クロバット
170,CHINCHOU,Chinchou,チョンチー
171,LANTURN,Lanturn,ランターン
172,PICHU,Pichu,ピチュー
173,CLEFFA,Cleffa,ピィ
174,IGGLYBUFF,Igglybuff,ププリン
175,TOGEPI,Togepi,トゲピー
176,TOGETIC,Togetic,トゲチック
177,NATU,Natu,ネイティ
178,XATU,Xatu,ネイティオ
179,MAREEP,Mareep,メリープ
180,FLAAFFY,Flaaffy,モココ
181,AMPHAROS,Ampharos,デンリュウ
182,BELLOSSOM,Bellossom,キレイハナ
183,MARILL,Marill,マリル
184,AZUMARILL,Azumarill,マリルリ
185,SUDOWOODO,Sudowoodo,ウソッキー
186,POLITOED,Politoed,ニョロトノ
187,HOPPIP,Hoppip,ハネッコ
188,SKIPLOOM,Skiploom,ポポッコ
189,JUMPLUFF,Jumpluff,ワタッコ
190,AIPOM,Aipom,エイパム
191,SUNKERN,Sunkern,ヒマナッツ
192,SUNFLORA,Sunflora,キマワリ
193,YANMA,Yanma,ヤンヤンマ
194,WOOPER,Wooper,ウパー
195,QUAGSIRE,Quagsire,ヌオー
196,ESPEON,Espeon,エーフィ
197,UMBREON,Umbreon,ブラッキー
198,MURKROW,Murkrow,ヤミカラス
199,SLOWKING,Slowking,ヤドキング
200,MISDREAVUS,Misdreavus,ムウマ
201,UNOWN,Unown,アンノーン
202,WOBBUFFET,Wobbuffet,ソーナンス
203,GIRAFARIG,Girafarig,キリンリキ
204,PINECO,Pineco,クヌギダマ
205,FORRETRESS,Forretress,フォレトス
206,DUNSPARCE,Dunsparce,ノコッチ
207,GLIGAR,Gligar,グライガー
208,STEELIX,Steelix,ハガネール
209,SNUBBULL,Snubbull,ブルー
210,GRANBULL,Granbull,グランブル
211,QWILFISH,Qwilfish,ハリーセン
212,SCIZOR,Scizor,ハッサム
213,SHUCKLE,Shuckle,ツボツボ
214,HERACROSS,Heracross,ヘラクロス
215,SNEASEL,Sneasel,ニューラ
216,TEDDIURSA,Teddiursa,ヒメグマ
217,URSARING,Ursaring,リングマ
218,SLUGMA,Slugma,マグマッグ
219,MAGCARGO,Magcargo,マグカルゴ
220,SWINUB,Swinub,ウリムー
221,PILOSWINE,Piloswine,イノムー
222,CORSOLA,Corsola,サニーゴ
223,REMORAID,Remoraid,テッポウオ
224,OCTILLERY,Octillery,オクタン
225,DELIBIRD,Delibird,デリバード
226,MANTINE,Mantine,マンタイン
227,SKARMORY,Skarmory,エアームド
228,HOUNDOUR,Houndour,デルビル
229,HOUNDOOM,Houndoom,ヘルガー
230,KINGDRA,Kingdra,キングドラ
231,PHANPY,Phanpy,ゴマゾウ
232,DONPHAN,Donphan,ドンファン
233,PORYGON2,Porygon2,ポリゴン2
234,STANTLER,Stantler,オドシシ
235,SMEARGLE,Smeargle,ドーブル
236,TYROGUE,Tyrogue,バルキー
237,HITMONTOP,Hitmontop,カポエラー
238,SMOOCHUM,Smoochum,ムチュール
239,ELEKID,Elekid,エレキッド
240,MAGBY,Magby,ブビィ
241,MILTANK,Miltank,ミルタンク
242,BLISSEY,Blissey,ハピナス
243,RAIKOU,Raikou,ライコウ
244,ENTEI,Entei,エンテイ
245,SUICUNE,Suicune,スイクン
246,LARVITAR,Larvitar,ヨーギラス
247,PUPITAR,Pupitar,サナギラス
248,TYRANITAR,Tyranitar,バンギラス
249,LUGIA,Lugia,ルギア
250,HO_OH,Ho-Oh,ホウオウ
251,CELEBI,Celebi,セレビィ
