129,"MAGIKARP",11,null,29,102,40
130,"GYARADOS",11,3,237,197,190
131,"LAPRAS",11,15,165,180,260
132,"DITTO",1,null,91,91,96
133,"EEVEE",1,null,104,121,110
134,"VAPOREON",11,null,205,177,260
135,"JOLTEON",13,null,232,201,130
136,"FLAREON",10,null,246,204,130
137,"PORYGON",1,null,153,139,130
138,"OMANYTE",6,11,155,174,70
139,"OMASTAR",6,11,207,227,140
140,"KABUTO",6,11,148,162,60
141,"KABUTOPS",6,11,220,203,120
142,"AERODACTYL",6,3,221,164,160
143,"SNORLAX",1,null,190,190,320
144,"ARTICUNO",15,3,192,249,180
145,"ZAPDOS",13,3,253,188,180
146,"MOLTRES",10,3,251,184,180
147,"DRATINI",16,null,119,94,82
148,"DRAGONAIR",16,null,163,138,122
149,"DRAGONITE",16,3,263,201,182
150,"MEWTWO",14,null,330,200,212
151,"MEW",14,null,210,210,200
152,"CHIKORITA",12,null,92,122,90
153,"BAYLEEF",12,null,122,155,120
154,"MEGANIUM",12,null,168,202,160
155,"CYNDAQUIL",10,null,116,96,78
156,"QUILAVA",10,null,158,129,116
157,"TYPHLOSION",10,null,223,176,156
158,"TOTODILE",11,null,117,116,100
159,"CROCONAW",11,null,150,151,130
160,"FERALIGATR",11,null,205,197,170
161,"SENTRET",1,null,79,77,70
162,"FURRET",1,null,148,130,170
163,"HOOTHOOT",1,3,67,101,120
164,"NOCTOWL",1,3,145,179,200
165,"LEDYBA",7,3,72,142,80
166,"LEDIAN",7,3,107,209,110
167,"SPINARAK",7,4,105,73,80
168,"ARIADOS",7,4,161,128,140
169,"CROBAT",4,3,194,178,170
170,"CHINCHOU",11,13,106,106,150
171,"LANTURN",11,13,146,146,250
172,"PICHU",13,null,77,63,40
173,"CLEFFA",18,null,75,91,100
174,"IGGLYBUFF",1,18,69,34,180
175,"TOGEPI",18,null,67,116,70
176,"TOGETIC",18,3,139,191,110
177,"NATU",14,3,134,89,80
178,"XATU",14,3,192,146,130
179,"MAREEP",13,null,114,82,110
180,"FLAAFFY",13,null,145,112,140
181,"AMPHAROS",13,null,211,172,180
182,"BELLOSSOM",12,null,169,189,150
183,"MARILL",11,18,37,93,140
184,"AZUMARILL",11,18,112,152,200
185,"SUDOWOODO",6,null,167,198,140
186,"POLITOED",11,null,174,192,180
187,"HOPPIP",12,3,67,101,70
188,"SKIPLOOM",12,3,91,127,110
189,"JUMPLUFF",12,3,118,197,150
190,"AIPOM",1,null,136,112,110
191,"SUNKERN",12,null,55,55,60
192,"SUNFLORA",12,null,185,148,150
193,"YANMA",7,3,154,94,130
194,"WOOPER",11,5,75,75,110
195,"QUAGSIRE",11,5,152,152,190
196,"ESPEON",14,null,261,194,130
197,"UMBREON",17,null,126,250,190
198,"MURKROW",17,3,175,87,120
199,"SLOWKING",11,14,177,194,190
200,"MISDREAVUS",8,null,167,167,120
201,"UNOWN",14,null,136,91,96
202,"WOBBUFFET",14,null,60,106,380
203,"GIRAFARIG",1,14,182,133,140
204,"PINECO",7,null,108,146,100
205,"FORRETRESS",7,9,161,242,150
206,"DUNSPARCE",1,null,131,131,200
207,"GLIGAR",5,3,143,204,130
208,"STEELIX",9,5,148,333,150
209,"SNUBBULL",18,null,137,89,120
210,"GRANBULL",18,null,212,137,180
211,"QWILFISH",11,4,184,148,130
212,"SCIZOR",7,9,236,191,140
213,"SHUCKLE",7,6,17,396,40
214,"HERACROSS",7,2,234,189,160
215,"SNEASEL",17,15,189,157,110
216,"TEDDIURSA",1,null,142,93,120
217,"URSARING",1,null,236,144,180
218,"SLUGMA",10,null,118,71,80
219,"MAGCARGO",10,6,139,209,100
220,"SWINUB",15,5,90,74,100
221,"PILOSWINE",15,5,181,147,200
222,"CORSOLA",11,6,118,156,110
223,"REMORAID",11,null,127,69,70
224,"OCTILLERY",11,null,197,141,150
225,"DELIBIRD",15,3,128,90,90
226,"MANTINE",11,3,148,260,130
227,"SKARMORY",9,3,148,260,130
228,"HOUNDOUR",17,10,152,93,90
229,"HOUNDOOM",17,10,224,159,150
230,"KINGDRA",11,16,194,194,150
231,"PHANPY",5,null,107,107,180
232,"DONPHAN",5,null,214,214,180
233,"PORYGON2",1,null,198,183,170
234,"STANTLER",1,null,192,132,146
235,"SMEARGLE",1,null,40,88,110
236,"TYROGUE",2,null,64,64,70
237,"HITMONTOP",2,null,173,214,100
238,"SMOOCHUM",15,14,153,116,90
239,"ELEKID",13,null,135,110,90
240,"MAGBY",10,null,151,108,90
241,"MILTANK",1,null,157,211,190
242,"BLISSEY",1,null,129,229,510
243,"RAIKOU",13,null,241,210,180
244,"ENTEI",10,null,235,176,230
245,"SUICUNE",11,null,180,235,200
246,"LARVITAR",6,5,115,93,100
247,"PUPITAR",6,5,155,133,140
248,"TYRANITAR",6,17,251,212,200
249,"LUGIA",14,3,193,323,212
250,"HO_OH",10,3,263,301,212
251,"CELEBI",14,12,210,210,200
