251,"WILD_CHARGE",13,90,2600,50,1700,2100
252,"ZAP_CANNON",13,140,3700,100,3000,3500
254,"AVALANCHE",15,90,2700,50,1700,2100
256,"BRAVE_BIRD",3,90,2000,100,1000,1600
257,"SKY_ATTACK",3,70,2000,50,1500,1700
258,"SAND_TOMB",5,80,4000,50,1700,4000
259,"ROCK_BLAST",6,50,2100,33,1600,2000
262,"SILVER_WIND",7,70,3700,33,1700,3500
265,"NIGHT_SHADE",8,60,2600,50,2100,2500
267,"GYRO_BALL",9,80,3300,50,3000,3300
268,"HEAVY_SLAM",9,70,2100,50,1500,1900
270,"OVERHEAT",10,160,4000,100,2600,3800
272,"GRASS_KNOT",12,90,2600,50,1700,2600
273,"ENERGY_BALL",12,90,3900,50,3000,3800
275,"FUTURESIGHT",14,120,2700,100,1400,2700
276,"MIRROR_COAT",14,60,2600,50,2300,2500
277,"OUTRAGE",16,110,3900,50,2500,3700
279,"CRUNCH",17,70,3200,33,1300,3000
280,"FOUL_PLAY",17,70,2000,50,1700,1900
